LAD,LADn,UTLA,UTLAn,RGN,RGNn,CTRY,CTRYn,x_lon,y_lat,area
E09000019,Islington,E13000001,Inner London,E12000007,London,E92000001,England,-0.10989,51.54546,14.8550808005524
E09000020,Kensington and Chelsea,E13000001,Inner London,E12000007,London,E92000001,England,-0.18977,51.49648,12.1439813651047
E09000022,Lambeth,E13000001,Inner London,E12000007,London,E92000001,England,-0.11385,51.46445,26.7925967167282
E09000023,Lewisham,E13000001,Inner London,E12000007,London,E92000001,England,-0.01734,51.4423,35.1822611647873
E09000025,Newham,E13000001,Inner London,E12000007,London,E92000001,England,0.027261,51.53149,36.1934726548615
E09000028,Southwark,E13000001,Inner London,E12000007,London,E92000001,England,-0.07308,51.46594,28.8502079979477
E09000030,Tower Hamlets,E13000001,Inner London,E12000007,London,E92000001,England,-0.03647,51.51554,19.7651450947418
E09000032,Wandsworth,E13000001,Inner London,E12000007,London,E92000001,England,-0.20021,51.4524,34.2614906182861
E09000033,Westminster,E13000001,Inner London,E12000007,London,E92000001,England,-0.15295,51.51221,21.4563218346939
E09000002,Barking and Dagenham,E13000002,Outer London,E12000007,London,E92000001,England,0.129479,51.54555,36.0898694229507
E09000003,Barnet,E13000002,Outer London,E12000007,London,E92000001,England,-0.21819,51.61107,86.8125209550781
E09000004,Bexley,E13000002,Outer London,E12000007,London,E92000001,England,0.146212,51.45822,60.5829548521576
E09000005,Brent,E13000002,Outer London,E12000007,London,E92000001,England,-0.27568,51.56438,43.2150172394028
E09000006,Bromley,E13000002,Outer London,E12000007,London,E92000001,England,0.039246,51.37266,150.13201185157
E09000008,Croydon,E13000002,Outer London,E12000007,London,E92000001,England,-0.07761,51.36597,86.5272536267776
E09000009,Ealing,E13000002,Outer London,E12000007,London,E92000001,England,-0.3141,51.52442,55.5329010158234
E09000010,Enfield,E13000002,Outer London,E12000007,London,E92000001,England,-0.08144,51.64889,82.1737226658173
E09000011,Greenwich,E13000002,Outer London,E12000007,London,E92000001,England,0.050093,51.46394,47.2944004601974
E09000015,Harrow,E13000002,Outer London,E12000007,London,E92000001,England,-0.33598,51.59467,50.4739873941193
E09000016,Havering,E13000002,Outer London,E12000007,London,E92000001,England,0.235368,51.56519,112.342337244621
E09000017,Hillingdon,E13000002,Outer London,E12000007,London,E92000001,England,-0.44182,51.53664,115.730613285591
E09000018,Hounslow,E13000002,Outer London,E12000007,London,E92000001,England,-0.37855,51.46238,55.9433277939529
E09000021,Kingston upon Thames,E13000002,Outer London,E12000007,London,E92000001,England,-0.28367,51.39296,37.2680595399094
E09000024,Merton,E13000002,Outer London,E12000007,London,E92000001,England,-0.18868,51.41058,37.6272072965851
E09000026,Redbridge,E13000002,Outer London,E12000007,London,E92000001,England,0.070085,51.58588,56.3806100039978
E09000027,Richmond upon Thames,E13000002,Outer London,E12000007,London,E92000001,England,-0.28914,51.44035,57.3340126251984
E09000029,Sutton,E13000002,Outer London,E12000007,London,E92000001,England,-0.17226,51.35755,43.8450794494171
E09000031,Waltham Forest,E13000002,Outer London,E12000007,London,E92000001,England,-0.0188,51.59461,38.8385854865341
E06000047,County Durham,E06000047,County Durham,E12000001,North East,E92000001,England,-1.8405,54.68513,2231.48281168639
E06000005,Darlington,E06000005,Darlington,E12000001,North East,E92000001,England,-1.56835,54.53534,197.489020458939
E06000001,Hartlepool,E06000001,Hartlepool,E12000001,North East,E92000001,England,-1.27018,54.67614,93.7714950441284
E06000002,Middlesbrough,E06000002,Middlesbrough,E12000001,North East,E92000001,England,-1.21099,54.54467,53.8585692194977
E06000057,Northumberland,E06000057,Northumberland,E12000001,North East,E92000001,England,-2.07523,55.30037,5032.36927829161
E06000003,Redcar and Cleveland,E06000003,Redcar and Cleveland,E12000001,North East,E92000001,England,-1.00608,54.56752,245.142931583923
E06000004,Stockton-on-Tees,E06000004,Stockton-on-Tees,E12000001,North East,E92000001,England,-1.30664,54.55691,204.902304359161
E08000037,Gateshead,E11000007,Tyne and Wear,E12000001,North East,E92000001,England,-1.68694,54.93115,142.346410690704
E08000021,Newcastle upon Tyne,E11000007,Tyne and Wear,E12000001,North East,E92000001,England,-1.65297,55.021,113.42667692868
E08000022,North Tyneside,E11000007,Tyne and Wear,E12000001,North East,E92000001,England,-1.50923,55.02896,82.2942713492126
E08000023,South Tyneside,E11000007,Tyne and Wear,E12000001,North East,E92000001,England,-1.44679,54.96988,64.4346069373169
E08000024,Sunderland,E11000007,Tyne and Wear,E12000001,North East,E92000001,England,-1.43344,54.85719,137.390933312576
E06000008,Blackburn with Darwen,E06000008,Blackburn with Darwen,E12000002,North West,E92000001,England,-2.4636,53.7008,137.059783632843
E06000009,Blackpool,E06000009,Blackpool,E12000002,North West,E92000001,England,-3.02199,53.82164,34.867951984726
E06000049,Cheshire East,E06000049,Cheshire East,E12000002,North West,E92000001,England,-2.29299,53.16793,1166.353434744
E06000050,Cheshire West and Chester,E06000050,Cheshire West and Chester,E12000002,North West,E92000001,England,-2.70298,53.16336,919.961107663628
E07000026,Allerdale,E10000006,Cumbria,E12000002,North West,E92000001,England,-3.2809,54.68524,1258.2176713884
E07000027,Barrow-in-Furness,E10000006,Cumbria,E12000002,North West,E92000001,England,-3.1999,54.15731,77.8238662138977
E07000028,Carlisle,E10000006,Cumbria,E12000002,North West,E92000001,England,-2.80498,54.97833,1038.2562172758
E07000029,Copeland,E10000006,Cumbria,E12000002,North West,E92000001,England,-3.37664,54.46617,737.546989925186
E07000030,Eden,E10000006,Cumbria,E12000002,North West,E92000001,England,-2.62678,54.63107,2156.52219011345
E07000031,South Lakeland,E10000006,Cumbria,E12000002,North West,E92000001,England,-2.78108,54.29908,1554.78522704135
E08000001,Bolton,E11000001,Greater Manchester,E12000002,North West,E92000001,England,-2.47952,53.58449,139.798149519409
E08000002,Bury,E11000001,Greater Manchester,E12000002,North West,E92000001,England,-2.3088,53.5931,99.4631913815918
E08000003,Manchester,E11000001,Greater Manchester,E12000002,North West,E92000001,England,-2.23359,53.47009,115.606914084732
E08000004,Oldham,E11000001,Greater Manchester,E12000002,North West,E92000001,England,-2.05274,53.55768,142.343444099838
E08000005,Rochdale,E11000001,Greater Manchester,E12000002,North West,E92000001,England,-2.14784,53.60741,158.161305947449
E08000006,Salford,E11000001,Greater Manchester,E12000002,North West,E92000001,England,-2.38485,53.47927,97.1504995609283
E08000007,Stockport,E11000001,Greater Manchester,E12000002,North West,E92000001,England,-2.12467,53.39116,126.049317353714
E08000008,Tameside,E11000001,Greater Manchester,E12000002,North West,E92000001,England,-2.077,53.47867,103.162089310165
E08000009,Trafford,E11000001,Greater Manchester,E12000002,North West,E92000001,England,-2.36572,53.41671,106.016606922745
E08000010,Wigan,E11000001,Greater Manchester,E12000002,North West,E92000001,England,-2.57247,53.51445,188.163768466141
E06000006,Halton,E06000006,Halton,E12000002,North West,E92000001,England,-2.68853,53.33424,79.0786659383621
E07000117,Burnley,E10000017,Lancashire,E12000002,North West,E92000001,England,-2.2308,53.77406,110.690658609131
E07000118,Chorley,E10000017,Lancashire,E12000002,North West,E92000001,England,-2.61921,53.6724,202.676676149292
E07000119,Fylde,E10000017,Lancashire,E12000002,North West,E92000001,England,-2.91914,53.79709,165.566362876831
E07000120,Hyndburn,E10000017,Lancashire,E12000002,North West,E92000001,England,-2.38964,53.75648,73.0125380722198
E07000121,Lancaster,E10000017,Lancashire,E12000002,North West,E92000001,England,-2.6603,54.07901,566.747112419739
E07000122,Pendle,E10000017,Lancashire,E12000002,North West,E92000001,England,-2.18957,53.88636,169.369961863998
E07000123,Preston,E10000017,Lancashire,E12000002,North West,E92000001,England,-2.71809,53.82202,142.28815524086
E07000124,Ribble Valley,E10000017,Lancashire,E12000002,North West,E92000001,England,-2.4174,53.9245,584.442947384659
E07000125,Rossendale,E10000017,Lancashire,E12000002,North West,E92000001,England,-2.26149,53.68478,138.023077896759
E07000126,South Ribble,E10000017,Lancashire,E12000002,North West,E92000001,England,-2.72871,53.72675,113.088682200882
E07000127,West Lancashire,E10000017,Lancashire,E12000002,North West,E92000001,England,-2.86893,53.61283,346.502802646538
E07000128,Wyre,E10000017,Lancashire,E12000002,North West,E92000001,England,-2.80359,53.89991,282.048927196991
E08000011,Knowsley,E11000002,Merseyside,E12000002,North West,E92000001,England,-2.83297,53.43788,86.5339109178848
E08000012,Liverpool,E11000002,Merseyside,E12000002,North West,E92000001,England,-2.91364,53.4083,111.821725713913
E08000014,Sefton,E11000002,Merseyside,E12000002,North West,E92000001,England,-2.99177,53.4821,156.550335672951
E08000013,St. Helens,E11000002,Merseyside,E12000002,North West,E92000001,England,-2.7031,53.45862,136.412478297577
E08000015,Wirral,E11000002,Merseyside,E12000002,North West,E92000001,England,-3.06701,53.37478,160.871948233437
E06000007,Warrington,E06000007,Warrington,E12000002,North West,E92000001,England,-2.56167,53.39163,180.622689413574
E06000036,Bracknell Forest,E06000036,Bracknell Forest,E12000008,South East,E92000001,England,-0.73363,51.4113,109.331486309494
E06000043,Brighton and Hove,E06000043,Brighton and Hove,E12000008,South East,E92000001,England,-0.15079,50.8465,82.8706687560081
E06000060,Buckinghamshire,E06000060,Buckinghamshire,E12000008,South East,E92000001,England,-0.80569,51.76966,1564.99592839693
E07000061,Eastbourne,E10000011,East Sussex,E12000008,South East,E92000001,England,0.258516,50.77387,44.1837880573769
E07000062,Hastings,E10000011,East Sussex,E12000008,South East,E92000001,England,0.578395,50.86724,29.8056115822334
E07000063,Lewes,E10000011,East Sussex,E12000008,South East,E92000001,England,0.007671,50.83341,292.137235986504
E07000064,Rother,E10000011,East Sussex,E12000008,South East,E92000001,England,0.542937,50.94871,511.805153501877
E07000065,Wealden,E10000011,East Sussex,E12000008,South East,E92000001,England,0.205156,50.93322,834.916118984734
E07000084,Basingstoke and Deane,E10000014,Hampshire,E12000008,South East,E92000001,England,-1.22021,51.25937,633.777186309971
E07000085,East Hampshire,E10000014,Hampshire,E12000008,South East,E92000001,England,-0.93971,51.05765,514.42655513097
E07000086,Eastleigh,E10000014,Hampshire,E12000008,South East,E92000001,England,-1.32943,50.94872,79.682414603302
E07000087,Fareham,E10000014,Hampshire,E12000008,South East,E92000001,England,-1.23742,50.85388,74.2824421062393
E07000088,Gosport,E10000014,Hampshire,E12000008,South East,E92000001,England,-1.16731,50.80636,25.3657748553772
E07000089,Hart,E10000014,Hampshire,E12000008,South East,E92000001,England,-0.88321,51.28197,215.260515299454
E07000090,Havant,E10000014,Hampshire,E12000008,South East,E92000001,England,-1.00398,50.87231,55.7297320084877
E07000091,New Forest,E10000014,Hampshire,E12000008,South East,E92000001,England,-1.59293,50.85748,752.033998990864
E07000092,Rushmoor,E10000014,Hampshire,E12000008,South East,E92000001,England,-0.76807,51.27815,39.050957337677
E07000093,Test Valley,E10000014,Hampshire,E12000008,South East,E92000001,England,-1.50214,51.13417,627.616080319244
E07000094,Winchester,E10000014,Hampshire,E12000008,South East,E92000001,England,-1.24393,51.03002,660.981481839672
E06000046,Isle of Wight,E06000046,Isle of Wight,E12000008,South East,E92000001,England,-1.33366,50.67129,379.683527057251
E07000105,Ashford,E10000016,Kent,E12000008,South East,E92000001,England,0.823374,51.13096,580.584670174248
E07000106,Canterbury,E10000016,Kent,E12000008,South East,E92000001,England,1.096342,51.28102,308.77572686644
E07000107,Dartford,E10000016,Kent,E12000008,South East,E92000001,England,0.245276,51.43373,72.7125642407379
E07000108,Dover,E10000016,Kent,E12000008,South East,E92000001,England,1.276887,51.21176,315.310828371513
E07000112,Folkestone and Hythe,E10000016,Kent,E12000008,South East,E92000001,England,1.000795,51.07213,356.98297704747
E07000109,Gravesham,E10000016,Kent,E12000008,South East,E92000001,England,0.398744,51.39649,99.0163801447601
E07000110,Maidstone,E10000016,Kent,E12000008,South East,E92000001,England,0.584061,51.23566,393.321347563377
E07000111,Sevenoaks,E10000016,Kent,E12000008,South East,E92000001,England,0.188936,51.27563,370.334305515968
E07000113,Swale,E10000016,Kent,E12000008,South East,E92000001,England,0.776893,51.32251,373.236389165291
E07000114,Thanet,E10000016,Kent,E12000008,South East,E92000001,England,1.328226,51.35252,103.597879617821
E07000115,Tonbridge and Malling,E10000016,Kent,E12000008,South East,E92000001,England,0.349306,51.26064,240.107934821121
E07000116,Tunbridge Wells,E10000016,Kent,E12000008,South East,E92000001,England,0.471632,51.10254,331.301992935707
E06000035,Medway,E06000035,Medway,E12000008,South East,E92000001,England,0.563174,51.44772,193.601538460953
E06000042,Milton Keynes,E06000042,Milton Keynes,E12000008,South East,E92000001,England,-0.7407,52.07241,308.649685371536
E07000177,Cherwell,E10000025,Oxfordshire,E12000008,South East,E92000001,England,-1.28506,51.8872,588.708157772804
E07000178,Oxford,E10000025,Oxfordshire,E12000008,South East,E92000001,England,-1.24405,51.75357,45.6275497116013
E07000179,South Oxfordshire,E10000025,Oxfordshire,E12000008,South East,E92000001,England,-1.07847,51.62288,678.408429740326
E07000180,Vale of White Horse,E10000025,Oxfordshire,E12000008,South East,E92000001,England,-1.48543,51.65443,578.703409824921
E07000181,West Oxfordshire,E10000025,Oxfordshire,E12000008,South East,E92000001,England,-1.50292,51.8399,714.423757575661
E06000044,Portsmouth,E06000044,Portsmouth,E12000008,South East,E92000001,England,-1.07006,50.808,40.3861499861794
E06000038,Reading,E06000038,Reading,E12000008,South East,E92000001,England,-0.99071,51.45302,40.3859751936646
E06000039,Slough,E06000039,Slough,E12000008,South East,E92000001,England,-0.57617,51.5035,32.5411411581726
E06000045,Southampton,E06000045,Southampton,E12000008,South East,E92000001,England,-1.39952,50.9212,49.856215283638
E07000207,Elmbridge,E10000030,Surrey,E12000008,South East,E92000001,England,-0.39441,51.36098,96.2979387613602
E07000208,Epsom and Ewell,E10000030,Surrey,E12000008,South East,E92000001,England,-0.26172,51.33945,34.1190362570572
E07000209,Guildford,E10000030,Surrey,E12000008,South East,E92000001,England,-0.56257,51.25366,270.993285742188
E07000210,Mole Valley,E10000030,Surrey,E12000008,South East,E92000001,England,-0.30603,51.22749,258.300166461006
E07000211,Reigate and Banstead,E10000030,Surrey,E12000008,South East,E92000001,England,-0.19871,51.25846,129.129948288345
E07000212,Runnymede,E10000030,Surrey,E12000008,South East,E92000001,England,-0.53855,51.39273,78.0517903862457
E07000213,Spelthorne,E10000030,Surrey,E12000008,South East,E92000001,England,-0.46254,51.41552,51.1667913534241
E07000214,Surrey Heath,E10000030,Surrey,E12000008,South East,E92000001,England,-0.68986,51.3361,95.1043276773453
E07000215,Tandridge,E10000030,Surrey,E12000008,South East,E92000001,England,-0.04805,51.23581,248.194257340485
E07000216,Waverley,E10000030,Surrey,E12000008,South East,E92000001,England,-0.62343,51.15686,345.198341713844
E07000217,Woking,E10000030,Surrey,E12000008,South East,E92000001,England,-0.57982,51.30837,63.5552628897552
E06000037,West Berkshire,E06000037,West Berkshire,E12000008,South East,E92000001,England,-1.27364,51.44559,704.170091708199
E07000223,Adur,E10000032,West Sussex,E12000008,South East,E92000001,England,-0.32417,50.84572,42.1034800083313
E07000224,Arun,E10000032,West Sussex,E12000008,South East,E92000001,England,-0.64999,50.84321,220.960340443733
E07000225,Chichester,E10000032,West Sussex,E12000008,South East,E92000001,England,-0.7163,50.94177,786.211680023571
E07000226,Crawley,E10000032,West Sussex,E12000008,South East,E92000001,England,-0.19533,51.12357,44.9689002663193
E07000227,Horsham,E10000032,West Sussex,E12000008,South East,E92000001,England,-0.38126,51.00272,530.238417537212
E07000228,Mid Sussex,E10000032,West Sussex,E12000008,South East,E92000001,England,-0.10272,51.05953,334.000302226944
E07000229,Worthing,E10000032,West Sussex,E12000008,South East,E92000001,England,-0.40127,50.8331,32.5158657685661
E06000040,Windsor and Maidenhead,E06000040,Windsor and Maidenhead,E12000008,South East,E92000001,England,-0.67541,51.48034,198.418678977585
E06000041,Wokingham,E06000041,Wokingham,E12000008,South East,E92000001,England,-0.89935,51.42296,178.974764762657
E06000022,Bath and North East Somerset,E06000022,Bath and North East Somerset,E12000009,South West,E92000001,England,-2.48654,51.35604,351.161960381393
E06000058,"Bournemouth, Christchurch and Poole",E06000058,"Bournemouth, Christchurch and Poole",E12000009,South West,E92000001,England,-1.84807,50.74609,162.072437492867
E06000023,"Bristol, City of",E06000023,"Bristol, City of",E12000009,South West,E92000001,England,-2.57742,51.47115,109.684921840687
E06000052,Cornwall,E06000052,Cornwall,E12000009,South West,E92000001,England,-4.64254,50.45022,3548.70177607075
E07000040,East Devon,E10000008,Devon,E12000009,South West,E92000001,England,-3.22359,50.7576,814.331314622229
E07000041,Exeter,E10000008,Devon,E12000009,South West,E92000001,England,-3.51368,50.71782,47.0494259051209
E07000042,Mid Devon,E10000008,Devon,E12000009,South West,E92000001,England,-3.59212,50.86882,912.827288768421
E07000043,North Devon,E10000008,Devon,E12000009,South West,E92000001,England,-3.92691,51.07621,1085.80216586374
E07000044,South Hams,E10000008,Devon,E12000009,South West,E92000001,England,-3.81996,50.37195,886.622777889554
E07000045,Teignbridge,E10000008,Devon,E12000009,South West,E92000001,England,-3.65289,50.60981,673.739532456953
E07000046,Torridge,E10000008,Devon,E12000009,South West,E92000001,England,-4.21728,50.90739,985.290591688801
E07000047,West Devon,E10000008,Devon,E12000009,South West,E92000001,England,-4.03361,50.66481,1161.05439474593
E06000059,Dorset,E06000059,Dorset,E12000009,South West,E92000001,England,-2.41467,50.79697,2490.99482260114
E07000078,Cheltenham,E10000013,Gloucestershire,E12000009,South West,E92000001,England,-2.07515,51.89861,46.5657477086334
E07000079,Cotswold,E10000013,Gloucestershire,E12000009,South West,E92000001,England,-1.97059,51.77255,1164.5402919432
E07000080,Forest of Dean,E10000013,Gloucestershire,E12000009,South West,E92000001,England,-2.47755,51.81249,525.924957905666
